,Index,Make,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,12v_Power_Outlet,Audiosystem,Boot-lid_Opener,Boot_Space,Central_Locking,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Adjustable_Headrests,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Number_of_Airbags,Adjustable_Steering_Column,Type,Child_Safety_Locks
0,0,Tata,Nano Genx,Xt,292667,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,23.6,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,CD Player with USB & Aux-in,Internal,110.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,,,,,,,,,,4,0
2,2,Tata,Nano Genx,Emax Xm,296661,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15.0,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4.0,,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,110.0,,Digital,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,,,,,,4,0
3,3,Tata,Nano Genx,Xta,334768,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,21.9,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,CD Player with USB & Aux-in,Internal,94.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,,,,,,,,,,1,0
4,4,Tata,Nano Genx,Xm,272223,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,23.6,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,110.0,,Digital,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,,,,,,4,0
5,5,Tata,Nano Genx,Xma,314815,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,21.9,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,94.0,,Digital,Not on offer,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,Yes,,,,,1,0
6,6,Datsun,Redi-Go,D,279650,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,Not on offer,Internal,222.0,,,Not on offer,Yes,,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Yes,Yes,Yes,,,,,,,,4,0
7,7,Datsun,Redi-Go,T,351832,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,Internal,222.0,Yes,,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
8,8,Datsun,Redi-Go,A,333419,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,Not on offer,Internal,222.0,,,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
9,9,Datsun,Redi-Go,S,362000,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,"With Remote, Internal",222.0,,,Not on offer,Yes,,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
10,10,Datsun,Redi-Go,1.0 S,390000,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,22.5,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,"With Remote, Internal",222.0,,,Front,Yes,Yes,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,Yes,,,,,,,,,4,0
11,11,Datsun,Redi-Go,1.0 S Amt,437065,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,23.0,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,155/80R13,155/80R13,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,155/80R13,Yes,CD Player with USB & Aux-in,"Internal, With Remote",222.0,Yes,,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,1,0
12,12,Renault,Kwid,Rxe 0.8,353290,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,25.17,6,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,,Not on offer,Internal,300.0,,,Front,,Front,Yes,,Internal,Digital,Manual,Digital,Yes,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,Yes,Yes,Yes,1.0,,4,0
13,13,Renault,Kwid,Std 0.8,283290,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,2442 mm,165/70 R14,,Not on offer,Internal,300.0,,,Front,,Front,Yes,,Internal,Digital,Manual,Digital,Yes,Yes,,Heater,,Yes,,Driver frontal airbag,,Yes,Yes,1.0,,4,1
14,14,Renault,Kwid,Rxl 0.8,383290,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,Yes,Yes,Yes,1.0,,4,0
15,15,Renault,Kwid,Rxt 0.8,413290,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1580 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,,,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,Yes,Yes,Yes,1.0,,4,0
16,16,Renault,Kwid,Rxt 1.0,433290,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,23.01,5,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,Yes,Yes,Yes,1.0,,4,0
17,17,Renault,Kwid,Climber 1.0 Mt,454490,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,23.01,5,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,Driver frontal airbag,Yes,Yes,Yes,1.0,,4,0
18,18,Renault,Kwid,Rxt Amt 1.0,463290,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,24.04,,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD/MP3/DVD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,Driver frontal airbag,Yes,Yes,Yes,1.0,,1,0
19,19,Renault,Kwid,Climber Amt 1.0,484490,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,24.04,,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD/MP3/DVD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,Driver frontal airbag,Yes,Yes,Yes,1.0,,1,0
20,20,Renault,Kwid,Rxt (O) 1.0,440990,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,23.01,5,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,,4,0
21,21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,23.01,5,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,,1,0
22,22,Renault,Kwid,Climber (O) Mt 1.0,462190,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,23.01,5,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,,4,0
23,23,Renault,Kwid,Climber (O) Amt 1.0,492190,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28.0,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,24.04,,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5.0,Fabric,2422 mm,165/70 R14,Yes,CD/MP3/DVD Player with USB & Aux-in,Internal,300.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,,1,0
24,24,Maruti Suzuki,Eeco,5 Str,352136,1196 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,Petrol,1800 mm,3675 mm,1475 mm,MPV,5.0,15.0,5,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2350 mm,155 R13 LT,,Not on offer,Internal,400.0,,,Not on offer,,,Yes,,Manual,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,,,Yes,,Driver frontal airbag,,Yes,,1.0,Rake,4,0
25,25,Maruti Suzuki,Eeco,7 Str,380573,1196 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,Petrol,1800 mm,3675 mm,1475 mm,MPV,5.0,15.0,5,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,74PS@6000RPM,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,7.0,Fabric,2350 mm,155 R13 LT,,Not on offer,Internal,250.0,,,Not on offer,,,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,,,Yes,,Driver frontal airbag,,Yes,,1.0,Rake,4,0
26,26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,Petrol,1800 mm,3675 mm,1475 mm,MPV,5.0,15.0,5,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2350 mm,155 R13 LT,,Not on offer,Internal,400.0,,,Not on offer,,,Yes,,Manual,Digital,Manual,Analog + Digital,Yes,Yes,Co-Driver Only,Manual Air conditioning with cooling and heating,,,,,,,,,Rake,4,0
27,27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,CNG,1800 mm,3675 mm,1475 mm,MPV,5.0,,5,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,155 R13 LT,155 R13 LT,,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2350 mm,155 R13 LT,,Not on offer,Internal,400.0,,,Not on offer,,,Yes,,Manual,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,,Yes,,Driver frontal airbag,,Yes,,1.0,Rake,4,0
28,28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40.0,CNG,1800 mm,3675 mm,1475 mm,MPV,5.0,,5,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2350 mm,155 R13 LT,,Not on offer,Internal,400.0,,,Not on offer,,,Yes,,Manual,Digital,Manual,Analog + Digital,Yes,,Driver & Front Passenger,Heater,,Yes,,Driver frontal airbag,,Yes,,1.0,Rake,4,0
29,29,Maruti Suzuki,Alto K10,Lxi,377588,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5.0,24.07,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2360 mm,155/65R13,,Not on offer,Internal,177.0,,,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,,Yes,,1.0,,4,0
30,30,Maruti Suzuki,Alto K10,Vxi,394036,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5.0,24.07,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6200rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2360 mm,155/65R13,Yes,CD/MP3 Player,Internal,177.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,,Yes,Yes,1.0,,4,0
31,31,Maruti Suzuki,Alto K10,Lx,360843,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5.0,24.07,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2360 mm,155/65R13,,Not on offer,Internal,177.0,,,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,Driver frontal airbag,,Yes,,1.0,,4,0
32,32,Maruti Suzuki,Alto K10,Vxi (O),407238,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1460 mm,3620 mm,1475 mm,Hatchback,5.0,24.07,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2360 mm,155/65R13,Yes,Not on offer,Internal,177.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,Driver frontal airbag,,,Yes,1.0,,4,0
33,33,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,CNG,1475 mm,3545 mm,1490 mm,Hatchback,5.0,,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,,59PS@6000rpm,78Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2360 mm,155/65R13,,Not on offer,Internal,177.0,,,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,Driver frontal airbag,,,,1.0,,4,0
34,34,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5.0,24.07,5,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2360 mm,155/65R13,Yes,CD Player with USB & Aux-in,Internal,177.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,Driver frontal airbag,,,Yes,1.0,,1,0
35,35,Datsun,Go,D,374990,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35.0,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,5.0,20.1,5,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,,Only Front Windows,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Digital,2,5.0,Fabric,2450 mm,155/70R13,Yes,Not on offer,"Internal, With Remote",265.0,Yes,,Not on offer,Yes,,Yes,,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Heater,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2.0,,4,0
