,Index,Make,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,12v_Power_Outlet,Audiosystem,Boot-lid_Opener,Boot_Space,Central_Locking,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Adjustable_Headrests,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Number_of_Airbags,Adjustable_Steering_Column,Type,Child_Safety_Locks
278,278,Jaguar,Xe,Se Diesel,4633000,1999 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,56.0,Diesel,1416 mm,4691 mm,1850 mm,Sedan,4.0,11.0,8,Ventilated Disc,Ventilated Disc,Double wishbone,Independent Integral Link,205 / 55 R17,205 / 55 R17,Hydraulic Power,All Windows,180PS@4000rpm,430NM@1750-2500rpm,Digital,Analog,Analog,Yes,4.0,Leather,2835 mm,205 / 55 R17,Yes,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",455.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,All Rows,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
279,279,Jaguar,Xe,Se Petrol,4633000,1997 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,61.0,Petrol,1416 mm,4691 mm,1850 mm,Sedan,4.0,11.0,8,Ventilated Disc,Ventilated Disc,Double wishbone,Independent Integral Link,205 / 55 R17,205 / 55 R17,Hydraulic Power,All Windows,250PS@5500RPM,365Nm@1500-4000rpm,Digital,Analog,Analog,Yes,5.0,Leather,2835 mm,205 / 55 R17,Yes,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",455.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,All Rows,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
280,280,Jaguar,Xf,2.0 Prestige,5436329,1999 cc,4.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,74.0,Petrol,1460 mm,4961 mm,2091 mm,Sedan,4.0,13.12,8,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R17,235/55R17,Electric Power,All Windows,247PS@5500rpm,340Nm@1750-2000RPM,Analog,Analog,Analog,Yes,5.0,Leather,2960 mm,235/55R17,Yes,CD/MP3/DVD Player with USB & Aux-in,Manual,505.0,Yes,Digital,Yes,Yes,Yes,Yes,Yes,Internal,Yes,Automatic,Analog,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
284,284,Jaguar,Xf,2.0 Pure Diesel,4977080,1999 cc,4.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,66.0,Diesel,1457 mm,5067 mm,2091 mm,Sedan,4.0,19.33,8,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R17,235/55R17,Electric Power,All Windows,180ps@5500rpm,430Nm@1750-2000rpm,Analog,Analog,Analog,Yes,5.0,Leather,2960 mm,235/55R17,Yes,CD/MP3/DVD Player with USB & Aux-in,Manual,505.0,Yes,Digital,Yes,Yes,Front & Rear,Yes,Yes,Internal,Analog,Automatic,Analog,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
285,285,Audi,A3 Cabriolet,40 Tfsi,5038000,1395 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,1409 mm,4421 mm,1793 mm,Convertible,2.0,19.2,7,Ventilated Disc,Ventilated Disc,McPherson Strut,Multi - link,205 / 55 R16,205 / 55 R16,Electric Power,All Windows,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM,Digital,Analog,Analog,Yes,4.0,Leather,2595 mm,R16,Yes,CD/MP3/DVD Player with USB & Aux-in,Internal,320.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,Front Row,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag",Yes,Yes,Yes,7.0,"Rake, Reach",1,0
286,286,Audi,A6,Premium Plus 45 Tfsi,5442200,1984 cc,4.0,16.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,73.0,Petrol,1455 mm,4933 mm,1874 mm,Sedan,4.0,14.11,7,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,225/55 R18,225/55 R18,Electric Power,All Windows,245PS@5000-6500rpm,370Nm@1600-4500rpm,Digital,Analog,"Analog, Digital",Yes,5.0,Leather,2912 mm,225/55 R18,Yes,CD/MP3/DVD Player with USB & Aux-in,With Remote,560.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"Internal, With Remote",Digital,Automatic,Digital,Yes,Yes,Driver & Front Passenger,2 Zone Climate Control,Yes,Yes,All Rows,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,8.0,Yes,1,0
357,357,Bajaj,Qute (Re60),Qcar,263000,216 cc,,1.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1652 mm,2752 mm,1312 mm,Hatchback,4.0,35.0,5,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,R12,R12,,,13bhp@5500rpm,18.9Nm@4000rpm,Yes,Yes,Yes,Yes,4.0,Fabric,1925 mm,R12,Yes,Not on offer,Manual,20.0,,Yes,Not on offer,Yes,,Yes,,Manual,Yes,Manual,Analog,Yes,Yes,Driver Only,,Yes,,,,,,,,,4,0
358,358,Bajaj,Qute (Re60),Qcar Cng,283000,216 cc,,1.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,CNG,1652 mm,2752 mm,1312 mm,Hatchback,4.0,,5,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,R12,R12,,,12bhp@5500rpm,16.1Nm@4000rpm,Yes,Yes,Yes,Yes,4.0,Fabric,1925 mm,R12,Yes,Not on offer,Manual,20.0,,Yes,Not on offer,Yes,,Yes,,Manual,Yes,Manual,Analog,Yes,Yes,Driver Only,,Yes,,,,,,,,,4,0
359,359,Maruti Suzuki,Alto,Std,294800,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,22.05,5,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic",Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,145/80R12,145/80R12,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2360 mm,145/80R12,,Not on offer,Internal,,,,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver Only,,Yes,,,,,,,,,4,0
360,360,Maruti Suzuki,Alto,Std (O),299900,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35.0,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,22.05,5,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic",Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,145/80R12,145/80R12,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,2360 mm,145/80R12,,Not on offer,Internal,,,,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver Only,,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,2.0,,4,0
